Accession	Taxon	Location_Eng	Location_Chi	Latitude	Longitude	Image	Source	Description
s18	Mycale	Round Island	銀洲	22.2158	114.1854	doc/images/Round_Island_MycaleEM100152.jpg	Markus Rummel	Mycale EM100152
s19	To be determined	Bluff Island	沙塘口山	22.3208	114.3498	doc/images/Bluff_Island_IMG_1896.jpg	Shan and Weizhi	na
s20	To be determined	Bluff Island	沙塘口山	22.3208	114.3498	doc/images/Bluff_Island_IMG_1901.jpg	Shan and Weizhi	na
s21	To be determined	Bluff Island	沙塘口山	22.3208	114.3498	doc/images/Bluff_Island_IMG_1919.jpg	Shan and Weizhi	na
s22	Haliclona cymaeformis	Po Toi O	布袋澳	22.2749	114.2942	doc/images/Po_Toi_O_Renmao_sponge.jpg	Renmao Tian	Renmao Tian 2014 paper
s23	To be determined	HKUST BBQ Site	香港科技大学	22.3385	114.2671	doc/images/HKUST_BBQ_site.png	Shan and Weizhi	na
s24	Haliclona cymaeformis	High Island Reservoir	萬宜水庫	22.3717	114.3451	doc/images/iNaturalist Haliclona cymaeformis.jpg	iNaturalist	Taxon from iNaturalist
s25	Haliclona cymaeformis	Port Island	赤洲	22.5012	114.3599	doc/images/iNaturalist Haliclona cymaeformis 2.jpeg	iNaturalist	Taxon from iNaturalist
s26	Haliclona cymaeformis	Hong Kong eastern waters	香港东部水域	22.2434	114.3342	doc/images/iNaturalist Haliclona cymaeformis 3.jpg	iNaturalist	Taxon from iNaturalist
s27	Haliclona cymaeformis	Stanley	赤柱	22.2216	114.2149	doc/images/iNaturalist Haliclona cymaeformis 4.jpg	iNaturalist	Taxon from iNaturalist
s28	Tethya robusta	Hoi Ha Wan	海下湾	22.4606	114.33	doc/images/iNaturalist Tethya robusta.jpg	iNaturalist	Taxon from iNaturalist
s29	Chondrilla australiensis	Hong Kong Southern waters	香港南部水域	22.0797	114.2075	doc/images/iNaturalist Chondrilla australiensis.jpg	iNaturalist	Taxon from iNaturalist
s30	To be determined	Cheung Chau	長洲	22.2178	114.0328	doc/images/iNaturalist Blue Tube Sponge.jpg	iNaturalist	iNaturalist Blue Tube Sponge
s31	To be determined	Cheung Sha Beach	長沙泳灘	22.2319	113.9577	doc/images/iNaturalist Blue Tube Sponge 2.jpg	iNaturalist	iNaturalist Blue Tube Sponge
s32	To be determined	Lamma Island	南丫島	22.2139	114.1212	doc/images/iNaturalist Blue Tube Sponge 3.jpg	iNaturalist	iNaturalist Blue Tube Sponge
s33	To be determined	Ap Lei Chau	鴨脷洲	22.2365	114.1542	doc/images/iNaturalist Blue Tube Sponge 4.jpg	iNaturalist	iNaturalist Blue Tube Sponge
s34	Spheciospongia vagabunda	To Tei Wan	土地湾	22.2272	114.2323	doc/images/iNaturalist Vagabond Boring Sponge.jpg	iNaturalist	iNaturalist Vagabond Boring Sponge
s35	Spheciospongia vagabunda	Shelter Island	牛尾洲	22.3205	114.3032	doc/images/iNaturalist Vagabond Boring Sponge 2.jpg	iNaturalist	iNaturalist Vagabond Boring Sponge
s36	Spheciospongia vagabunda	Wang Chau	橫洲	22.3292	114.3738	doc/images/iNaturalist Vagabond Boring Sponge 3.jpeg	iNaturalist	iNaturalist Vagabond Boring Sponge
s37	Mycale cecilia	Hong Kong eastern waters	香港东部水域	22.2008	114.3471	doc/images/iNaturalist Mycale cecilia.jpg	iNaturalist	Taxon from iNaturalist
s38	Heteropia glomerosa	Basalt island	火石洲	22.3156	114.3653	doc/images/iNaturalist Heteropia glomerosa.jpeg	iNaturalist	Taxon from iNaturalist
S39	Clathrina	NA	NA	22.3318	114.1604	doc/images/AFCD Clathrina sp.jpg	AFCD	AFCD website
S40	Haliclona	NA	NA	22.3318	114.1604	doc/images/AFCD Haliclona sp.jpg	AFCD	AFCD website
S41	Tethya	NA	NA	22.3318	114.1604	doc/images/AFCD Tethya sp.jpg	AFCD	AFCD website
